Day,Exercise,Set,Weight,Reps
Day 1,pull up,1,52.0,5
Day 1,pull up,2,65.0,5
Day 1,pull up,3,78.0,3
Day 1,pull up,4,84.5,5
Day 1,pull up,5,97.5,5
Day 1,pull up,6,110.5,5
Day 1,pull up 5x5 FSL,5,84.5,5
Day 1,squat,1,32.0,5
Day 1,squat,2,40.0,5
Day 1,squat,3,48.0,3
Day 1,squat,4,52.0,5
Day 1,squat,5,60.0,5
Day 1,squat,6,68.0,5
Day 1,squat 5x5 FSL,5,52.0,5
Day 2,leg press,1,0.0,5
Day 2,leg press,2,0.0,5
Day 2,leg press,3,0.0,3
Day 2,leg press,4,0.0,5
Day 2,leg press,5,0.0,5
Day 2,leg press,6,0.0,5
Day 2,leg press 5x5 FSL,5,0.0,5
Day 2,dip,1,58.0,5
Day 2,dip,2,72.5,5
Day 2,dip,3,87.0,3
Day 2,dip,4,94.25,5
Day 2,dip,5,108.75,5
Day 2,dip,6,123.25,5
Day 2,dip 5x5 FSL,5,94.25,5
Day 3,squat,1,32.0,5
Day 3,squat,2,40.0,5
Day 3,squat,3,48.0,3
Day 3,squat,4,52.0,5
Day 3,squat,5,60.0,5
Day 3,squat,6,68.0,5
Day 3,squat 5x5 FSL,5,52.0,5
Day 3,pull up,1,52.0,5
Day 3,pull up,2,65.0,5
Day 3,pull up,3,78.0,3
Day 3,pull up,4,84.5,5
Day 3,pull up,5,97.5,5
Day 3,pull up,6,110.5,5
Day 3,pull up 5x5 FSL,5,84.5,5
